Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,-0.22087508895451458,-0.20714170777431132,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,1.0509937888999856,0.8786680880058696,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.5141038909843643,Gd,TA,PConc,Gd,TA,No,GLQ,0.5754248369676035,Unf,-0.2886528311122454,-0.9445906057378156,-0.4593025408311876,Ex,Y,SBrkr,1.1618515874685553,-0.12024172373467248,0.3703334392167798,1.1078101491462133,-0.24106103579929677,0.7897405221108432,1.2275853765130371,0.1637791168735145,-0.21145358120204893,Gd,-0.9512264882332893,,Attchd,1.0175980835384009,RFn,0.31172464418307205,TA,TA,Y,-0.7521758378613592,0.2165031608388436,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,-1.599111099180035,0.1387774889497933,WD,Normal,208500
2,20,RL,0.4603197354510445,-0.09188637231949037,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,8,0.15673371079690998,-0.4295769652193609,Gable,CompShg,MetalSd,MetalSd,,-0.5707501337786359,TA,TA,CBlock,Gd,TA,Gd,ALQ,1.171992119373828,Unf,-0.2886528311122454,-0.6412279930944917,0.4664649160883461,Ex,Y,SBrkr,-0.7951632272572445,-0.12024172373467248,-0.48251191458524123,-0.8199643654586394,3.948809348331338,0.7897405221108432,-0.7616206719986545,0.1637791168735145,-0.21145358120204893,TA,0.6004949339126351,TA,Attchd,-0.10792706946619719,RFn,0.31172464418307205,TA,TA,Y,1.6261947918523714,-0.704483250333654,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,-0.489110050937792,-0.6144386220786311,WD,Normal,181500
3,60,RL,-0.08463612407340275,0.07347997855047012,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,0.9847523016330911,0.8302145675160463,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.32591492750506834,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.09290718208021594,Unf,-0.2886528311122454,-0.3016429789415173,-0.3133687545187488,Ex,Y,SBrkr,1.1893506246778172,-0.12024172373467248,0.5150125617367655,1.1078101491462133,-0.24106103579929677,0.7897405221108432,1.2275853765130371,0.1637791168735145,-0.21145358120204893,Gd,0.6004949339126351,TA,Attchd,0.9342258499825047,RFn,0.31172464418307205,TA,TA,Y,-0.7521758378613592,-0.07036145903455729,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,0.9908913467185322,0.1387774889497933,WD,Normal,223500
4,70,RL,-0.44794003042303426,-0.09689747386100432,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,5,-1.8636316508433721,-0.720298088158301,Gable,CompShg,Wd Sdng,Wd Shng,,-0.5707501337786359,TA,TA,BrkTil,TA,Gd,No,ALQ,-0.49927357619066876,Unf,-0.2886528311122454,-0.06166956894008201,-0.6873240819443732,Gd,Y,SBrkr,0.9372761169262505,-0.12024172373467248,0.3836591478699364,1.1078101491462133,-0.24106103579929677,-1.0260408358133,-0.7616206719986545,0.1637791168735145,-0.21145358120204893,Gd,0.6004949339126351,Gd,Detchd,0.8091674996486605,Unf,1.6503069397927341,TA,TA,Y,-0.7521758378613592,-0.1760484242510734,4.092523739317571,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,-1.599111099180035,-1.3676547331070554,WD,Abnorml,140000
5,60,RL,0.6419716886258603,0.37514829134961014,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,5,0.9516315579996439,0.7333075265363995,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.366489196155293,Gd,TA,PConc,Gd,TA,Av,GLQ,0.4635684715164364,Unf,-0.2886528311122454,-0.17486457365774016,0.1996797129859189,Ex,Y,SBrkr,1.6178772878554806,-0.12024172373467248,1.299325699608267,1.1078101491462133,-0.24106103579929677,0.7897405221108432,1.2275853765130371,1.3900227611572622,-0.21145358120204893,Gd,0.6004949339126351,TA,Attchd,0.8925397332045566,RFn,1.6503069397927341,TA,TA,Y,0.7801971853099035,0.5637603322645395,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,2.100892394960775,0.1387774889497933,WD,Normal,250000
6,50,RL,0.6873846769195642,0.3606160968792197,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,5,0.7197863525655132,0.4910399240872828,Gable,CompShg,VinylSd,VinylSd,,-0.5707501337786359,TA,TA,Wood,Gd,TA,No,GLQ,0.632449650727022,Unf,-0.2886528311122454,-1.1392860138521876,-0.596115465499099,Ex,Y,SBrkr,0.5018746944462716,-0.12024172373467248,-0.2921446481115758,1.1078101491462133,-0.24106103579929677,-1.0260408358133,1.2275853765130371,-2.288708171693981,-0.21145358120204893,TA,-0.9512264882332893,,Attchd,0.6007369157589201,Unf,0.31172464418307205,TA,TA,Y,-0.43293145803401284,-0.25153911369144205,-0.3593249004055313,10.802446267979857,-0.2702083542015609,-0.06869174753820707,1.3237359981507422,1.3608916961326132,0.8919935999782177,WD,Normal,143000
7,20,RL,0.23325479398252483,-0.04337890939763529,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,1.084114532533433,0.9755751289855163,Gable,CompShg,VinylSd,VinylSd,Stone,0.4587541958433949,Gd,TA,PConc,Ex,TA,Av,GLQ,2.029557587832776,Unf,-0.2886528311122454,-0.5665192899808374,1.4332762504082532,Ex,Y,SBrkr,-0.7951632272572445,-0.12024172373467248,0.33987467658099335,1.1078101491462133,-0.24106103579929677,0.7897405221108432,-0.7616206719986545,0.1637791168735145,-0.21145358120204893,Gd,0.6004949339126351,Gd,Attchd,1.059284200316349,RFn,0.31172464418307205,TA,TA,Y,1.283007083537974,0.15611060928654868,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,0.6208909973044512,-0.6144386220786311,WD,Normal,307000
8,60,RL,-0.03922313577969881,-0.013512744210212127,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,0.05737147989656824,-0.5749375266888309,Gable,CompShg,HdBoard,HdBoard,Stone,0.7576425496046296,TA,TA,CBlock,Gd,TA,Mn,ALQ,0.9109939333211048,BLQ,-0.09022046788626462,-0.7951731995105069,0.11303152736290836,Ex,Y,SBrkr,1.45746623746812,-0.12024172373467248,1.0937290518167084,1.1078101491462133,-0.24106103579929677,0.7897405221108432,1.2275853765130371,0.1637791168735145,-0.21145358120204893,TA,2.1522163560585597,TA,Attchd,-0.23298541980004142,RFn,0.31172464418307205,TA,TA,Y,1.1233848936243007,2.3755368788333873,3.37237175348001,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,0.6180240933165219,1.7308920455466943,0.8919935999782177,WD,Normal,200000
9,50,RM,-0.8566569250663697,-0.44065903960886155,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,5,-1.3336997527082162,-1.689368497954768,Gable,CompShg,BrkFace,Wd Shng,,-0.5707501337786359,TA,TA,BrkTil,TA,TA,No,Unf,-0.9730181828073765,Unf,-0.2886528311122454,0.8710572699334213,-0.2404018613625294,Gd,Y,FuseF,0.9281097711898298,-0.12024172373467248,0.49216848975992566,-0.8199643654586394,-0.24106103579929677,0.7897405221108432,-0.7616206719986545,-1.0624645274102333,4.32857919166548,TA,2.1522163560585597,TA,Detchd,-1.9838023244738607,Unf,0.31172464418307205,Fa,TA,Y,-0.03387598324982984,-0.704483250333654,2.9959286699740124,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,-0.859110400351873,0.1387774889497933,WD,Abnorml,129900
10,190,RL,-0.9020699133600736,-0.31037039952949874,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,6,-1.0687338036406382,-1.689368497954768,Gable,CompShg,MetalSd,MetalSd,,-0.5707501337786359,TA,TA,BrkTil,TA,TA,No,GLQ,0.8934478367797453,Unf,-0.2886528311122454,-0.9672296066813473,-0.151473460328387,Ex,Y,SBrkr,-0.7951632272572445,-0.12024172373467248,-0.8346913575615222,1.1078101491462133,-0.24106103579929677,-1.0260408358133,-0.7616206719986545,-1.0624645274102333,4.32857919166548,TA,2.1522163560585597,TA,Attchd,-1.650313390250276,RFn,-1.02685765142659,Gd,TA,Y,-0.7521758378613592,-0.644090698781359,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.06869174753820707,-0.08768781151769862,-1.9691114485941161,0.1387774889497933,WD,Normal,118000
